unique_id,ds,Exogenous1,Exogenous2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
NP,2018-12-24 00:00:00,49119.0,461.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 01:00:00,48115.0,484.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 02:00:00,47727.0,497.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 03:00:00,47673.0,509.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 04:00:00,47848.0,510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 05:00:00,48673.0,511.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 06:00:00,50071.0,526.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 07:00:00,52259.0,528.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 08:00:00,54395.0,659.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 09:00:00,56071.0,897.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 10:00:00,56989.0,1140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 11:00:00,56985.0,1342.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 12:00:00,56391.0,1547.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 13:00:00,55922.0,1618.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 14:00:00,55826.0,1664.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 15:00:00,56216.0,1768.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 16:00:00,56661.0,1964.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 17:00:00,55479.0,2092.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 18:00:00,53741.0,2243.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 19:00:00,52591.0,2544.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 20:00:00,51787.0,2785.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 21:00:00,51488.0,2919.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 22:00:00,50928.0,3119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-12-24 23:00:00,49889.0,3306.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
