unique_id,ds,y
bank_calls,2003-03-03 07:00:00,111.0
bank_calls,2003-03-03 07:05:00,113.0
bank_calls,2003-03-03 07:10:00,76.0
bank_calls,2003-03-03 07:15:00,82.0
bank_calls,2003-03-03 07:20:00,91.0
bank_calls,2003-03-03 07:25:00,87.0
bank_calls,2003-03-03 07:30:00,75.0
bank_calls,2003-03-03 07:35:00,89.0
bank_calls,2003-03-03 07:40:00,99.0
bank_calls,2003-03-03 07:45:00,125.0
bank_calls,2003-03-03 07:50:00,99.0
bank_calls,2003-03-03 07:55:00,122.0
bank_calls,2003-03-03 08:00:00,171.0
bank_calls,2003-03-03 08:05:00,159.0
bank_calls,2003-03-03 08:10:00,186.0
bank_calls,2003-03-03 08:15:00,175.0
bank_calls,2003-03-03 08:20:00,168.0
bank_calls,2003-03-03 08:25:00,191.0
bank_calls,2003-03-03 08:30:00,224.0
bank_calls,2003-03-03 08:35:00,212.0
bank_calls,2003-03-03 08:40:00,207.0
bank_calls,2003-03-03 08:45:00,219.0
bank_calls,2003-03-03 08:50:00,243.0
bank_calls,2003-03-03 08:55:00,266.0
bank_calls,2003-03-03 09:00:00,286.0
bank_calls,2003-03-03 09:05:00,378.0
bank_calls,2003-03-03 09:10:00,344.0
bank_calls,2003-03-03 09:15:00,366.0
bank_calls,2003-03-03 09:20:00,364.0
bank_calls,2003-03-03 09:25:00,335.0
bank_calls,2003-03-03 09:30:00,350.0
bank_calls,2003-03-03 09:35:00,372.0
bank_calls,2003-03-03 09:40:00,372.0
bank_calls,2003-03-03 09:45:00,398.0
bank_calls,2003-03-03 09:50:00,382.0
bank_calls,2003-03-03 09:55:00,382.0
bank_calls,2003-03-03 10:00:00,387.0
bank_calls,2003-03-03 10:05:00,378.0
bank_calls,2003-03-03 10:10:00,358.0
bank_calls,2003-03-03 10:15:00,389.0
bank_calls,2003-03-03 10:20:00,357.0
bank_calls,2003-03-03 10:25:00,369.0
bank_calls,2003-03-03 10:30:00,367.0
bank_calls,2003-03-03 10:35:00,385.0
bank_calls,2003-03-03 10:40:00,383.0
bank_calls,2003-03-03 10:45:00,389.0
bank_calls,2003-03-03 10:50:00,350.0
bank_calls,2003-03-03 10:55:00,398.0
bank_calls,2003-03-03 11:00:00,352.0
bank_calls,2003-03-03 11:05:00,355.0
bank_calls,2003-03-03 11:10:00,369.0
bank_calls,2003-03-03 11:15:00,362.0
bank_calls,2003-03-03 11:20:00,357.0
bank_calls,2003-03-03 11:25:00,361.0
bank_calls,2003-03-03 11:30:00,369.0
bank_calls,2003-03-03 11:35:00,333.0
bank_calls,2003-03-03 11:40:00,330.0
bank_calls,2003-03-03 11:45:00,367.0
bank_calls,2003-03-03 11:50:00,352.0
bank_calls,2003-03-03 11:55:00,322.0
bank_calls,2003-03-03 12:00:00,333.0
bank_calls,2003-03-03 12:05:00,322.0
bank_calls,2003-03-03 12:10:00,328.0
bank_calls,2003-03-03 12:15:00,340.0
bank_calls,2003-03-03 12:20:00,354.0
bank_calls,2003-03-03 12:25:00,337.0
bank_calls,2003-03-03 12:30:00,332.0
bank_calls,2003-03-03 12:35:00,350.0
bank_calls,2003-03-03 12:40:00,318.0
bank_calls,2003-03-03 12:45:00,331.0
bank_calls,2003-03-03 12:50:00,333.0
bank_calls,2003-03-03 12:55:00,341.0
bank_calls,2003-03-03 13:00:00,337.0
bank_calls,2003-03-03 13:05:00,303.0
bank_calls,2003-03-03 13:10:00,305.0
bank_calls,2003-03-03 13:15:00,300.0
bank_calls,2003-03-03 13:20:00,307.0
bank_calls,2003-03-03 13:25:00,305.0
bank_calls,2003-03-03 13:30:00,317.0
bank_calls,2003-03-03 13:35:00,325.0
bank_calls,2003-03-03 13:40:00,322.0
bank_calls,2003-03-03 13:45:00,315.0
bank_calls,2003-03-03 13:50:00,309.0
bank_calls,2003-03-03 13:55:00,317.0
bank_calls,2003-03-03 14:00:00,309.0
bank_calls,2003-03-03 14:05:00,310.0
bank_calls,2003-03-03 14:10:00,311.0
bank_calls,2003-03-03 14:15:00,289.0
bank_calls,2003-03-03 14:20:00,340.0
bank_calls,2003-03-03 14:25:00,303.0
bank_calls,2003-03-03 14:30:00,316.0
bank_calls,2003-03-03 14:35:00,320.0
bank_calls,2003-03-03 14:40:00,295.0
bank_calls,2003-03-03 14:45:00,302.0
bank_calls,2003-03-03 14:50:00,320.0
bank_calls,2003-03-03 14:55:00,316.0
bank_calls,2003-03-03 15:00:00,301.0
bank_calls,2003-03-03 15:05:00,307.0
bank_calls,2003-03-03 15:10:00,283.0
bank_calls,2003-03-03 15:15:00,289.0
bank_calls,2003-03-03 15:20:00,289.0
bank_calls,2003-03-03 15:25:00,296.0
bank_calls,2003-03-03 15:30:00,304.0
bank_calls,2003-03-03 15:35:00,291.0
bank_calls,2003-03-03 15:40:00,285.0
bank_calls,2003-03-03 15:45:00,282.0
bank_calls,2003-03-03 15:50:00,275.0
bank_calls,2003-03-03 15:55:00,296.0
bank_calls,2003-03-03 16:00:00,317.0
bank_calls,2003-03-03 16:05:00,267.0
bank_calls,2003-03-03 16:10:00,294.0
bank_calls,2003-03-03 16:15:00,286.0
bank_calls,2003-03-03 16:20:00,266.0
bank_calls,2003-03-03 16:25:00,268.0
bank_calls,2003-03-03 16:30:00,241.0
bank_calls,2003-03-03 16:35:00,262.0
bank_calls,2003-03-03 16:40:00,254.0
bank_calls,2003-03-03 16:45:00,242.0
bank_calls,2003-03-03 16:50:00,254.0
bank_calls,2003-03-03 16:55:00,250.0
bank_calls,2003-03-03 17:00:00,225.0
bank_calls,2003-03-03 17:05:00,232.0
bank_calls,2003-03-03 17:10:00,199.0
bank_calls,2003-03-03 17:15:00,179.0
bank_calls,2003-03-03 17:20:00,192.0
bank_calls,2003-03-03 17:25:00,200.0
bank_calls,2003-03-03 17:30:00,185.0
bank_calls,2003-03-03 17:35:00,193.0
bank_calls,2003-03-03 17:40:00,188.0
bank_calls,2003-03-03 17:45:00,160.0
bank_calls,2003-03-03 17:50:00,144.0
bank_calls,2003-03-03 17:55:00,161.0
bank_calls,2003-03-03 18:00:00,169.0
bank_calls,2003-03-03 18:05:00,141.0
bank_calls,2003-03-03 18:10:00,150.0
bank_calls,2003-03-03 18:15:00,138.0
bank_calls,2003-03-03 18:20:00,146.0
bank_calls,2003-03-03 18:25:00,122.0
bank_calls,2003-03-03 18:30:00,135.0
