unique_id,ds,y,Exogenous1,Exogenous2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
NP,2018-10-15 00:00:00,2.17,34078.0,1791.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 01:00:00,4.03,33469.0,1489.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 02:00:00,4.88,33313.0,1233.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 03:00:00,10.47,33535.0,1035.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 04:00:00,17.51,34267.0,854.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 05:00:00,39.8,36570.0,764.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 06:00:00,43.1,40741.0,684.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 07:00:00,45.64,44093.0,668.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 08:00:00,46.41,44980.0,674.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 09:00:00,46.26,44885.0,644.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 10:00:00,46.01,44838.0,541.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 11:00:00,45.81,44211.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 12:00:00,45.37,43608.0,483.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 13:00:00,45.03,43265.0,426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 14:00:00,45.39,43024.0,420.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 15:00:00,45.46,43039.0,462.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 16:00:00,46.07,43227.0,526.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 17:00:00,46.44,44236.0,563.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 18:00:00,48.14,45075.0,622.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 19:00:00,48.29,45132.0,687.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 20:00:00,45.85,43739.0,681.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 21:00:00,43.17,42170.0,600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 22:00:00,42.58,40145.0,497.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-15 23:00:00,40.59,37585.0,435.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 00:00:00,40.51,36187.0,405.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 01:00:00,39.96,35345.0,346.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 02:00:00,39.66,35142.0,307.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 03:00:00,39.95,35182.0,261.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 04:00:00,40.48,35782.0,182.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 05:00:00,42.56,37915.0,153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 06:00:00,44.28,41897.0,140.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 07:00:00,46.7,45122.0,136.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 08:00:00,47.51,45802.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 09:00:00,47.23,45865.0,103.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 10:00:00,47.2,45989.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 11:00:00,46.7,45643.0,102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 12:00:00,45.83,45124.0,115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 13:00:00,45.09,44821.0,132.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 14:00:00,44.4,44574.0,158.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 15:00:00,44.42,44437.0,194.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 16:00:00,45.75,44544.0,207.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 17:00:00,46.41,45504.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 18:00:00,47.11,46138.0,233.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 19:00:00,47.32,45820.0,307.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 20:00:00,44.96,44316.0,377.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 21:00:00,44.1,42949.0,460.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 22:00:00,42.62,40844.0,502.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-16 23:00:00,41.44,38495.0,544.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NP,2018-10-17 00:00:00,42.3,36471.0,707.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 01:00:00,40.01,35701.0,776.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 02:00:00,39.61,35411.0,782.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 03:00:00,39.82,35513.0,810.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 04:00:00,41.01,36230.0,815.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 05:00:00,42.8,38314.0,773.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 06:00:00,44.7,42111.0,715.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 07:00:00,45.43,45286.0,661.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 08:00:00,45.81,45916.0,656.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 09:00:00,45.83,45669.0,623.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 10:00:00,45.62,45507.0,559.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 11:00:00,45.16,45152.0,554.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 12:00:00,44.06,44611.0,562.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 13:00:00,43.93,44315.0,533.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 14:00:00,43.72,43963.0,456.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 15:00:00,44.06,44079.0,343.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 16:00:00,44.54,44192.0,268.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 17:00:00,45.07,44945.0,232.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 18:00:00,45.39,45627.0,204.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 19:00:00,45.49,45238.0,172.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 20:00:00,44.12,43659.0,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 21:00:00,42.93,42288.0,162.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 22:00:00,42.08,40254.0,172.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-17 23:00:00,41.01,37941.0,214.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NP,2018-10-18 00:00:00,40.43,35945.0,352.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NP,2018-10-18 01:00:00,39.95,35273.0,494.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NP,2018-10-18 02:00:00,39.37,35046.0,625.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
