ds,unique_id,y,Holiday
2012-01-01 00:00:00,Demand,4382.825174,True
2012-01-01 00:30:00,Demand,4263.365526,True
2012-01-01 01:00:00,Demand,4048.966046,True
2012-01-01 01:30:00,Demand,3877.56333,True
2012-01-01 02:00:00,Demand,4036.229746,True
2012-01-01 02:30:00,Demand,3865.597244,True
2012-01-01 03:00:00,Demand,3694.097664,True
2012-01-01 03:30:00,Demand,3561.623686,True
2012-01-01 04:00:00,Demand,3433.035352,True
2012-01-01 04:30:00,Demand,3359.468,True
2012-01-01 05:00:00,Demand,3331.343274,True
2012-01-01 05:30:00,Demand,3304.641186,True
2012-01-01 06:00:00,Demand,3272.106404,True
2012-01-01 06:30:00,Demand,3275.99806,True
2012-01-01 07:00:00,Demand,3370.42409,True
2012-01-01 07:30:00,Demand,3494.418154,True
2012-01-01 08:00:00,Demand,3580.091164,True
2012-01-01 08:30:00,Demand,3719.985142,True
2012-01-01 09:00:00,Demand,3909.300738,True
2012-01-01 09:30:00,Demand,4092.566212,True
2012-01-01 10:00:00,Demand,4245.024938,True
2012-01-01 10:30:00,Demand,4413.074788,True
2012-01-01 11:00:00,Demand,4599.507418,True
2012-01-01 11:30:00,Demand,4772.133542,True
2012-01-01 12:00:00,Demand,4938.79574,True
2012-01-01 12:30:00,Demand,5080.138254,True
2012-01-01 13:00:00,Demand,5211.915476,True
2012-01-01 13:30:00,Demand,5328.31718,True
2012-01-01 14:00:00,Demand,5436.420076,True
2012-01-01 14:30:00,Demand,5538.356502,True
2012-01-01 15:00:00,Demand,5641.188556,True
2012-01-01 15:30:00,Demand,5737.303578,True
2012-01-01 16:00:00,Demand,5831.138192,True
2012-01-01 16:30:00,Demand,5935.794824,True
2012-01-01 17:00:00,Demand,5999.870792,True
2012-01-01 17:30:00,Demand,6071.191688,True
2012-01-01 18:00:00,Demand,6082.502946,True
2012-01-01 18:30:00,Demand,6005.434908,True
2012-01-01 19:00:00,Demand,5890.774506,True
2012-01-01 19:30:00,Demand,5709.07195,True
2012-01-01 20:00:00,Demand,5529.864864,True
2012-01-01 20:30:00,Demand,5395.439534,True
2012-01-01 21:00:00,Demand,5368.114986,True
2012-01-01 21:30:00,Demand,5236.609354,True
2012-01-01 22:00:00,Demand,4992.28282,True
2012-01-01 22:30:00,Demand,4728.466002,True
2012-01-01 23:00:00,Demand,4515.15537,True
2012-01-01 23:30:00,Demand,4330.376528,True
2012-01-02 00:00:00,Demand,4367.914468,True
2012-01-02 00:30:00,Demand,4164.015958,True
2012-01-02 01:00:00,Demand,3898.239882,True
2012-01-02 01:30:00,Demand,3752.016756,True
2012-01-02 02:00:00,Demand,3941.369156,True
2012-01-02 02:30:00,Demand,3776.118154,True
2012-01-02 03:00:00,Demand,3601.350916,True
2012-01-02 03:30:00,Demand,3490.138704,True
2012-01-02 04:00:00,Demand,3433.902124,True
2012-01-02 04:30:00,Demand,3416.64658,True
2012-01-02 05:00:00,Demand,3437.95793,True
2012-01-02 05:30:00,Demand,3430.715412,True
2012-01-02 06:00:00,Demand,3488.721382,True
2012-01-02 06:30:00,Demand,3572.151288,True
2012-01-02 07:00:00,Demand,3746.740622,True
2012-01-02 07:30:00,Demand,3936.300246,True
2012-01-02 08:00:00,Demand,4097.803516,True
2012-01-02 08:30:00,Demand,4328.535242,True
2012-01-02 09:00:00,Demand,4600.146478,True
2012-01-02 09:30:00,Demand,4865.516228,True
2012-01-02 10:00:00,Demand,5136.096,True
2012-01-02 10:30:00,Demand,5389.694676,True
2012-01-02 11:00:00,Demand,5655.4751,True
2012-01-02 11:30:00,Demand,5916.611734,True
2012-01-02 12:00:00,Demand,6143.622836,True
2012-01-02 12:30:00,Demand,6328.665498,True
2012-01-02 13:00:00,Demand,6496.10842,True
2012-01-02 13:30:00,Demand,6628.323336,True
2012-01-02 14:00:00,Demand,6730.80916,True
2012-01-02 14:30:00,Demand,6819.33039,True
2012-01-02 15:00:00,Demand,6941.457822,True
2012-01-02 15:30:00,Demand,7055.279186,True
2012-01-02 16:00:00,Demand,7146.87121,True
2012-01-02 16:30:00,Demand,7261.476696,True
2012-01-02 17:00:00,Demand,7300.065136,True
2012-01-02 17:30:00,Demand,7345.24889,True
2012-01-02 18:00:00,Demand,7276.420116,True
2012-01-02 18:30:00,Demand,7193.165394,True
2012-01-02 19:00:00,Demand,7049.715348,True
2012-01-02 19:30:00,Demand,6896.406916,True
2012-01-02 20:00:00,Demand,6698.276592,True
2012-01-02 20:30:00,Demand,6558.238362,True
2012-01-02 21:00:00,Demand,6494.117476,True
2012-01-02 21:30:00,Demand,6289.639912,True
2012-01-02 22:00:00,Demand,5951.377222,True
2012-01-02 22:30:00,Demand,5579.595596,True
2012-01-02 23:00:00,Demand,5291.110508,True
